IDTRACKER,APLC_SEQ_NO,MID,TID,MERCHANT NAME,CITY,PROSES PENGAJUAN APLIKASI,TGL APLIKASI MASUK,STATUS APLIKASI,STATUS WR,STATUS WO,PROVIDER_TYP,TMNL_STATUS,TMNL_MODEL,SNO,MER_DTL_ADDR1,MER_DTL_ADDR2,MER_DTL_ADDR3,MID_BRI,MID_BNI,MID_BTN,MID_ASTRAPAY,MID_DANAMON,MID_BSI,MID_OCBC,TID_BRI,TID_BNI,TID_BTN,TID_ASTRAPAY,TID_DANAMON,TID_BSI,TID_OCBC,MEMBER_BANK,DATA_CHNG_DTTM
37,12002515989,71129966209,74544445,MIDI UC01 SYECH QURO WADAS,Karawang (Kab),Approved,50:28.0,Approval Completed,OPEN - WAREHOUSE,,Telkomsel,New Request,,,JL. SYECH QURO WADAS RT 001/004 DS. BUAH ASEM,KEL KARYAMUKTI KEC LEMAH ABANG,KARAWANG,1999228105,'001999228105,2.01E+14,,,,,10398786,15165403,20031447,,,,,SHARING BMRI-BRI-BNI-BTN,50:52.0
38,12002515989,71129966209,74544446,MIDI UC01 SYECH QURO WADAS,Karawang (Kab),Approved,50:28.0,Approval Completed,OPEN - WAREHOUSE,,Telkomsel,New Request,,,JL. SYECH QURO WADAS RT 001/004 DS. BUAH ASEM,KEL KARYAMUKTI KEC LEMAH ABANG,KARAWANG,1999228105,'001999228105,2.01E+14,,,,,10398787,15165404,20031448,,,,,SHARING BMRI-BRI-BNI-BTN,50:52.0
39,12002516001,71133304806,74577765,MIDI UC02 SOMERSET,Jakarta Timur (Kota Administrasi),Approved,01:24.0,Approval Completed,OPEN - WAREHOUSE,,Telkomsel,New Request,,,KAV SOMERSET N BLOK N 08 NO 003,KEL KOTA WISATA KEC CIBUBUR,JAKARTA TIMUR,1999228770,'001999228770,2.01E+14,,,,,10400968,15165304,20033063,,,,,SHARING BMRI-BRI-BNI-BTN,22:38.3
40,12002516009,71129966302,74544449,MIDI MH91 SETU PUSPITEK,Tangerang Selatan (Kota),Approved,06:37.0,Approval Completed,OPEN - WAREHOUSE,,Telkomsel,New Request,,,JL. RAYA MUNCUL CIPUTAT RT.015 RW.04,KEL. SETU KEC. SETU,TANGERANG SELATAN,1999228685,'001999228685,2.01E+14,,,,,10400623,14289409,20031451,,,,,SHARING BMRI-BRI-BNI-BTN,50:52.6
41,12002516014,71129966495,74544452,MIDI SA26 JOMBANG,Tangerang Selatan (Kota),Approved,09:44.0,Approval Completed,OPEN - WAREHOUSE,,Telkomsel,New Request,,,"JL JOMBANG RAYA NO 88, RT 03/RW 02",KEL. JOMBANG KEC. CIPUTAT,TANGERANG SELATAN,1999228383,'001999228383,2.01E+14,,,,,10399660,14266803,20031454,,,,,SHARING BMRI-BRI-BNI-BTN,50:53.2
42,12002516014,71129966495,74544453,MIDI SA26 JOMBANG,Tangerang Selatan (Kota),Approved,09:44.0,Approval Completed,OPEN - WAREHOUSE,,Telkomsel,New Request,,,"JL JOMBANG RAYA NO 88, RT 03/RW 02",KEL. JOMBANG KEC. CIPUTAT,TANGERANG SELATAN,1999228383,'001999228383,2.01E+14,,,,,10399659,14266802,20031455,,,,,SHARING BMRI-BRI-BNI-BTN,50:53.2
43,12002516018,71133305057,74577770,MIDI SH02 KERTAMUKTI,Tangerang Selatan (Kota),Approved,12:35.0,Approval Completed,OPEN - WAREHOUSE,,Telkomsel,New Request,,,JL. KERTAMUKTI NO. 10,KEL PISANGAN KEC CIPUTAT TIMUR,TANGERANG SELATAN,1999228745,'001999228745,2.01E+14,,,,,10400894,14279304,20033269,,,,,SHARING BMRI-BRI-BNI-BTN,22:39.7
44,12002516019,71133305150,74577773,MIDI UC04 GREEN VILLAGE,Karawang (Kab),Approved,12:57.0,Approval Completed,OPEN - WAREHOUSE,,Telkomsel,New Request,,,PERUM CLUSTER KARAWANG GREEN VILLAGE BLOK OG,"NO 6,7,8 KEL SUKALUYU KEC TELUK JAMBE TIMUR",KARAWANG,1999228102,'001999228102,2.01E+14,,,,,10398777,15165002,20033068,,,,,SHARING BMRI-BRI-BNI-BTN,22:40.5
45,12002516019,71133305150,74577774,MIDI UC04 GREEN VILLAGE,Karawang (Kab),Approved,12:57.0,Approval Completed,OPEN - WAREHOUSE,,Telkomsel,New Request,,,PERUM CLUSTER KARAWANG GREEN VILLAGE BLOK OG,"NO 6,7,8 KEL SUKALUYU KEC TELUK JAMBE TIMUR",KARAWANG,1999228102,'001999228102,2.01E+14,,,,,10398778,15165003,20033069,,,,,SHARING BMRI-BRI-BNI-BTN,22:40.5
46,12002516046,71133305243,74577777,MIDI UC08 GEMPOL,Karawang (Kab),Approved,19:43.0,Approval Completed,OPEN - WAREHOUSE,,Telkomsel,New Request,,,JL. GEMPOL BANYUSARI,KEL. GEMPOL KEC. BANYUSARI,KARAWANG,1999228112,'001999228112,2.01E+14,,,,,10398808,15166203,20033072,,,,,SHARING BMRI-BRI-BNI-BTN,22:41.2
