IDLOG,IDTRACKER,IDSTATUS,APLC_STATUS,APLC_AUTH,APLC_RSON,PROC_PGRS_SEQ_NO,DATA_CHNG_DTTM
14094,6949,61,Member Bank Apprval 1,Approved,,1,2/1/2023 15:02
14095,6950,61,Member Bank Apprval 1,Approved,,1,2/8/2023 11:02
14096,6950,70,Approval Completed,Approved,,1,2/25/2023 17:02
14097,6951,61,Member Bank Apprval 1,Approved,,1,2/8/2023 11:02
14098,6951,70,Approval Completed,Approved,,1,2/10/2023 17:02
14099,6952,70,Approval Completed,Approved,,2,2/22/2023 14:02
14100,6952,70,Approval Completed,Approved,,4,2/22/2023 14:02
14101,6953,20,Data Entry,Approved,,1,1/31/2023 12:01
14102,6953,50,Merchant Analyst,Approved,,1,2/1/2023 22:02
14103,6953,61,Member Bank Apprval 1,Approved,,1,2/8/2023 10:02
14104,6953,61,Member Bank Apprval 1,Approved,,2,2/7/2023 17:02
14105,6953,61,Member Bank Apprval 1,Approved,,3,2/6/2023 8:02
14106,6953,70,Approval Completed,,,5,2/22/2023 21:02
14107,6954,20,Data Entry,Approved,,1,1/31/2023 12:01
14108,6954,61,Member Bank Apprval 1,Approved,,2,2/7/2023 17:02
14109,6941,70,Approval Completed,Approved,,2,2/7/2023 10:02
14110,6941,61,Member Bank Apprval 1,Approved,,3,2/6/2023 8:02
14111,6941,70,Approval Completed,Approved,,3,2/7/2023 10:02
14112,6941,70,Approval Completed,Approved,,4,2/7/2023 10:02
14113,6942,30,B/L Check,Approved,,1,1/30/2023 13:01
14114,6942,40,Application Check,Approved,,1,1/30/2023 14:01
14115,6942,61,Member Bank Apprval 1,Approved,,3,1/31/2023 10:01
14116,6950,10,DOC Registration,Approved,,1,1/30/2023 16:01
14117,6950,15,Quality Assurance (QAM),Approved,,1,1/30/2023 16:01
14118,6950,20,Data Entry,Approved,,1,1/31/2023 6:01
14119,6951,10,DOC Registration,Approved,,1,1/30/2023 16:01
14120,6942,70,Approval Completed,,,5,2/9/2023 22:02
14121,6943,30,B/L Check,Approved,,1,1/30/2023 13:01
14122,6943,40,Application Check,Approved,,1,1/30/2023 13:01
14123,6943,70,Approval Completed,,,5,2/13/2023 10:02
14124,6944,30,B/L Check,Approved,,1,1/30/2023 14:01
14125,6944,40,Application Check,Approved,,1,1/30/2023 15:01
14126,6944,61,Member Bank Apprval 1,Approved,,3,2/1/2023 11:02
14127,6945,70,Approval Completed,Approved,,1,2/2/2023 22:02
14128,6945,70,Approval Completed,,,2,2/2/2023 22:02
14129,6946,10,DOC Registration,Approved,,1,1/30/2023 14:01
14130,6946,15,Quality Assurance (QAM),Approved,,1,1/30/2023 14:01
14131,6946,20,Data Entry,Approved,,1,1/31/2023 0:01
14132,6946,30,B/L Check,Approved,,1,1/31/2023 0:01
14133,6946,40,Application Check,Approved,,1,1/31/2023 7:01
14134,6952,20,Data Entry,Approved,,1,1/31/2023 12:01
14135,6946,61,Member Bank Apprval 1,Approved,,1,1/31/2023 11:01
14136,6946,70,Approval Completed,Approved,,1,2/6/2023 21:02
14137,6947,10,DOC Registration,Approved,,1,1/30/2023 15:01
14138,6947,30,B/L Check,Approved,,1,1/31/2023 6:01
14139,6947,40,Application Check,Approved,,1,1/31/2023 16:01
14140,6948,30,B/L Check,Approved,,1,1/31/2023 5:01
14141,6948,40,Application Check,Approved,,1,1/31/2023 8:01
14142,6949,30,B/L Check,Approved,,1,1/31/2023 6:01
14143,6949,40,Application Check,Approved,,1,1/31/2023 8:01
14144,6950,30,B/L Check,Approved,,1,1/31/2023 6:01
14145,6950,40,Application Check,Approved,,1,1/31/2023 8:01
14146,6951,30,B/L Check,Approved,,1,1/31/2023 6:01
