NAME_R_BANK,NAME_R_BRANCH
BANK MANDIRI,BANK MANDIRI-Jakarta Bassura City
BANK MANDIRI,BANK MANDIRI-Jakarta Pisangan Lama
BANK MANDIRI,BANK MANDIRI-Jakarta Kampung Ambon
BANK MANDIRI,BANK MANDIRI-Jakarta Warung Buncit Raya
BANK MANDIRI,BANK MANDIRI-Pemalang
BANK MANDIRI,BANK MANDIRI-Pekanbaru Sudirman Bawah
BANK MANDIRI,BANK MANDIRI-Jakarta Jalan Garuda
BANK MANDIRI,BANK MANDIRI-Jakarta Pasar Jatinegara
BANK MANDIRI,BANK MANDIRI-Makassar Sulawesi
BANK MANDIRI,BANK MANDIRI-Jakarta Jatinegara Timur
BANK MANDIRI,BANK MANDIRI-MAKASSAR SAM RATULANGI
BANK MANDIRI,BANK MANDIRI-Makassar Urip Sumoharjo
BANK MANDIRI,BANK MANDIRI-Denpasar Teuku Umar
BANK MANDIRI,BANK MANDIRI-Pekanbaru Air Tiris
BANK MANDIRI,BANK MANDIRI-Jakarta Daan Mogot
BANK MANDIRI,BANK MANDIRI-Jakarta Kota
BANK MANDIRI,BANK MANDIRI-Jakarta Glodok Plaza
BANK MANDIRI,BANK MANDIRI-Jakarta Pluit Kencana
BANK MANDIRI,BANK MANDIRI-Jakarta Petukangan
BANK MANDIRI,BANK MANDIRI-Watampone
BANK MANDIRI,BANK MANDIRI-Yogyakarta Sudirman
BANK MANDIRI,BANK MANDIRI-test
BANK MANDIRI,BANK MANDIRI-Semarang Gedung Telkom
BANK MANDIRI,BANK MANDIRI-Tarakan Yos Sudarso
BANK MANDIRI,BANK MANDIRI-Tarakan Simpang Tiga
BANK MANDIRI,BANK MANDIRI-Nunukan
BANK MANDIRI,BANK MANDIRI-Surabaya Rungkut Madya
BANK MANDIRI,BANK MANDIRI-Malang Galunggung
BANK MANDIRI,BANK MANDIRI-Pulau Bunyu
BANK MANDIRI,BANK MANDIRI-Malinau
BANK MANDIRI,BANK MANDIRI-Tanjung Selor
