SYS_ID_TR_MERCHANT_REGISTRATION,UPDATED,NAME_R_USER,REMARK,NAME_R_TYPE
f2c72433-5011-4af7-9f4f-661d27c21f8f,29:57.6,Ricky Nelson,TO DE : cek nama owner,Return
f2c72433-5011-4af7-9f4f-661d27c21f8f,30:24.3,Ricky Nelson,pv to owner - 081388350626,Submit Registration
f2c72433-5011-4af7-9f4f-661d27c21f8f,37:14.7,Ricky Nelson,PV to 081388350626,Submit
0ca6c5b8-4496-42b8-9a7f-4d42d1a88668,19:20.6,Ricky Nelson,pv 081388350626 - OK,Submit Registration
0ca6c5b8-4496-42b8-9a7f-4d42d1a88668,28:54.3,Ricky Nelson,pv 081388350626,Submit
becc24d6-3ceb-4d73-a8d9-e43bc4ad0218,03:27.8,Ricky Nelson,Ptr,Submit Registration
8f8b8529-ddc7-4e30-8ef5-9289c01ba76e,52:06.9,Ricky Nelson,ok,Submit Registration
8f8b8529-ddc7-4e30-8ef5-9289c01ba76e,01:09.9,Ricky Nelson,PTR,Submit
becc24d6-3ceb-4d73-a8d9-e43bc4ad0218,02:33.9,Ricky Nelson,PTR,Submit Registration
becc24d6-3ceb-4d73-a8d9-e43bc4ad0218,05:17.6,Ricky Nelson,PTR,Submit Registration
becc24d6-3ceb-4d73-a8d9-e43bc4ad0218,08:17.7,Ricky Nelson,ok,Submit Registration
becc24d6-3ceb-4d73-a8d9-e43bc4ad0218,10:10.0,Ricky Nelson,ok,Submit Registration
becc24d6-3ceb-4d73-a8d9-e43bc4ad0218,15:49.1,Ricky Nelson,ok,Submit
12f8fcfd-af8c-42cc-97cc-149035c17612,17:26.1,Ricky Nelson,ok,Submit Registration
12f8fcfd-af8c-42cc-97cc-149035c17612,20:00.7,Ricky Nelson,Ok,Submit
70cf6b09-9c99-4f3d-85ca-99f6880f4f50,01:30.7,Ricky Nelson,OK,Submit Registration
70cf6b09-9c99-4f3d-85ca-99f6880f4f50,04:44.0,Ricky Nelson,"akuisisi baru QRIS Static, mdr std, settday std, mcc Proper;",Submit
6a16d7f1-e103-45d1-bb3e-50cf53fad035,10:18.3,Ricky Nelson,"TO SS REVDOC : SPM, kreteria ke checklist 2 UKE dan UME",Return
