SYS_ID_TR_MERCHANT_REGISTRATION,NUMBERS
d321410b-5481-4017-b65e-3274e6301830,Y0000039886
6808ec94-c0f9-459c-a978-be6fa025effe,Y0000046586
d09cda8a-a547-4147-a7f8-94feec269e2a,Y0000052201
d6355336-0f25-40ff-be70-769c07f00756,Y0000043758
5de287a1-18a2-44aa-a2f4-4f0406022d21,Y0000046480
16d59145-dbdc-428c-be7f-fb2dcfc3d460,Y0000047710
fb3bdddc-bad8-48dd-b591-b7e77562ce27,Y0000046629
17821cbc-9f4b-41cc-9081-eb0da608b807,Y0000042098
bb29a604-e100-474a-b2cd-df68405a9aaa,Y0000043108
0f26afe4-4950-4bb1-93ab-e0dcfc67b96f,Y0000052429
26212945-0ac8-4f29-a6b0-c55cad66c92f,Y0000041332
e5dc4c2d-0556-4e32-8882-82e3297f93c6,Y0000038018
aa8bbe15-6284-4832-b4e6-42a19f998af0,Y0000041558
302941d4-f098-45bc-b58f-c9c4a51bc93c,Y0000000931
fb6e3697-c20f-4b41-85a2-df32596f245d,Y0000041847
37c40020-e120-44e3-a623-77e8511d18a7,Y0000046780
dd318dc7-5335-4a8a-840b-4e75ec883648,Y0000034981
fa697c93-49a2-490c-b595-41b7f252984f,Y0000043690
74baab9e-cd9e-41bc-b3d9-3f23a0590f32,Y0000041978
ab5ee32c-e9c6-42ca-9e7e-6b6bcc219477,Y0000001419
45b2acbb-6d6a-40df-a12a-7d51f7acada0,Y0000052066
317df944-6179-473b-9c4a-588f86467716,Y0000001014
f0b97913-e3fb-4488-914d-6af144fd1138,Y0000000509
80bf188e-4edc-4d27-86f4-6464981a6146,Y0000046552
df1d16d8-bce5-4201-8162-4f19250bebfd,Y0000040424
c4f428cd-291d-4f11-a29f-04df750c1150,Y0000047060
ae87d094-9a02-4860-935e-40a4d0ef9018,Y0000040803
02d0abeb-e15f-4096-aeef-c9bc9a310adf,Y0000001423
65fff1dd-bd52-4973-a44f-fe1700910d27,Y0000046481
dcd16c87-9892-40ec-a17d-579bd1a8431d,Y0000041338
d5081194-c276-4a69-b005-0908124927a2,Y0000043559
52720b61-25f0-4165-b4d5-88e79e97a3be,Y0000041967
ebe4bc32-3bce-4468-b2ff-5093f8257aaf,Y0000051312
0644264d-cf2b-4c1a-9fce-89488445145e,Y0000000981
d7e34ddf-7555-4483-a9ba-491acaacce41,Y0000044176
eb9f4d9b-583d-4918-a3ad-c351c7904437,Y0000043294
ec1aa58b-a905-4b9b-9bbb-a0d7f142d239,Y0000041759
906adbe8-48df-44f6-bcf4-d1987a754b47,Y0000042014
0d0faa3d-343b-4a0b-a5af-ff9d6639e6fe,Y0000040605
1cc4e961-1265-4005-b22b-a1c3604c3efd,Y0000037771
b12df3fc-060f-4ef9-9b0e-ea436ac5f192,Y0000047946
5ce402a8-b1e6-4c4c-9e58-28c4e3bcc021,Y0000049949
81d68e3c-790a-47cd-9ead-e3053225c887,Y0000018641
3ab8c010-348e-495e-963e-dc22b060dcf9,Y0000026215
aaaa8bab-9228-4152-b00d-5a6b8cad4520,Y0000000709
38d01967-d3d4-413a-b1fe-29076bb95312,Y0000043618
8d003874-6f89-4ac2-bdba-bc8c6d53db69,Y0000042452
cd5a92db-7dbc-492e-a430-4b5559b689f8,Y0000018740
e6c077b7-68eb-4779-9184-2dc935c078a0,Y0000018141
29de2cd7-f9f4-4979-a1c7-1b488e136ba3,Y0000018758
a54bc7f8-4909-48d2-9930-774cef05c0ad,Y0000049805
69f2af75-066d-4682-9ff5-f7ded44b896a,Y0000001429
6077c4a0-a8e5-481e-b369-b6d9b34624ed,Y0000000466
d40900e4-42ca-43ac-a9fc-0b5ee385acea,Y0000043564
960ab86b-9767-44a3-a13e-022ce6681722,Y0000018142
710c35d3-8534-4f2b-8ac5-3b6c70d72683,Y0000018267
1bc6fbd3-1570-4b01-b14e-2874a25be5b0,Y0000018756
2a4ac33f-3577-4923-81bf-82d8cb5caccb,Y0000046992
7dad8a69-2ef9-4132-a808-1e753c3e78a2,Y0000043673
f5c609ba-6c69-4fe2-95ec-a92cdf785db8,Y0000005627
e91ea57a-7f3b-459b-bfd0-c6ec2c307bb7,Y0000000842
ba6a0d98-194c-47e3-a53d-3e2cf000b15c,Y0000005626
769d7cb5-0017-464a-94d3-54331bc1a0e7,Y0000047051
823411d5-36cc-439f-a4bf-5335a9d9f74b,Y0000047049
fa808fa6-c821-4014-b249-aeb9b6ed39fd,Y0000040699
44d74e53-f5ef-456d-80f6-2b2580ea580e, 0000000303
ff8391d0-8841-49ec-977f-833c59f6d6ca,Y0000000911
62d2d886-54dc-4511-81d8-ac17bc7b323b,Y0000000883
8a6a4e6a-fa51-4d5d-90c5-a9b99088f6e4,Y0000046583
8fb68463-f406-4675-b4a2-2baefd9f0765,Y0000046415
4fb16e70-d0a0-45b5-8a4a-25ea20efb45e,Y0000018508
027f82e9-cfca-4b06-a3b8-3c351ed042a3,Y0000043678
34b6be76-562a-4f6b-bf4d-e013551b055f,Y0000046309
4c559616-45e7-48ec-99e2-46153bcad6f6,Y0000049818
7de704aa-9f11-42e2-b52d-447972961e15,Y0000001628
3fa4571a-e644-463f-8bc4-64d4eb4505b3,Y0000043674
c602e870-1b3a-433b-a10d-32f56455a8e9,Y0000042097
14f6d2d3-a880-44c4-86c3-c1d505c2f4df, 0000000334
01fcfb72-a41e-4b7c-a43f-0a64a421f423,Y0000043665
63f6ae80-aef2-4c5a-bf80-e3abd6a6596e,Y0000049164
db5a56be-8d03-426e-a0df-1b464643951f, 0000000351
ae303797-90b1-491c-b582-ad2dd7e07aee,Y0000044105
31da684a-72e2-40c1-9d82-40f2178a895c,Y0000047682
a33de0c9-f8ef-404e-b073-8071f2b67e13,Y0000046373
4fe18ba8-9b45-416f-81e2-0f0801cdd959,Y0000043901
8544d47c-16a3-4303-9a8a-a5e45c61b486,Y0000000895
e388c036-b8bc-4474-bceb-b7f24344a709,Y0000040584
9e01e688-b611-467e-a865-5330785e332d,Y0000047702
c10226b3-ab56-44c8-a399-d529cdd08a86,Y0000000507
97bd4c63-fa0c-49ad-9732-a367f2f5cbb8,Y0000043546
49f9ee81-068d-4ef5-949e-769409272916,Y0000042158
5d946bfd-1f46-489a-bb35-3da28531fb01,Y0000046156
326489d8-2a47-4ea7-b25e-51ab72d6a27e,Y0000043612
adfcbb51-41ba-41c1-aa91-4bdcbeda2f94,Y0000040598
c78007ba-3074-4ebc-ac19-3bf1df385423,Y0000042041
463ae7c0-b7f0-4b45-846a-a85929a6d412,Y0000001610
4a162819-b28d-4343-923c-fe568b108ade,Y0000049121
44a1e360-7457-4c00-9946-d6fd585c97c1,Y0000000625
9cffc968-bd93-4e8e-b8b1-bad5d2076e47,Y0000046069
16f097cc-0a3d-4f32-9a1e-f0a310ab3ca3,Y0000000503
815d125c-124f-4053-8fa7-9a93e5094cca,Y0000043792
46909ab2-d6e1-44cd-a2d8-c4bf0d85f646,Y0000043835
529589e0-590c-45a3-9396-c8dc2e58fd44,Y0000040679
48c4a591-d275-40ab-a85d-cf43b05a48b5,Y0000041651
72dc6bae-671f-406b-a97b-01c28b7c07bb, 0000000304
d5f5cb95-f2a0-4da2-a6cb-4f4d8b67f20d,Y0000039883
29c7080f-fd2c-4f0f-a2d4-43fe19477221,Y0000043237
ff4be093-8250-40b2-91e2-c90261227a5e,Y0000048350
4b453310-3c16-495c-ac41-6f7b0de95f55,Y0000000534
1b163f5d-8a02-4323-81f3-2b5cf6e93001,Y0000047599
b1c6fa69-abc3-47db-82ad-c9956cd1ab9b,Y0000046588
8a86898b-cdb5-4440-95c4-dfb1ce25926b,Y0000002699
3f47dbf9-175c-4325-b417-adff44215d59,Y0000042546
d3874d76-91a5-471f-b4d7-927da7092bed,Y0000048205
2e200f1a-fa8a-439a-8c47-c664085d8ece,Y0000000448
7c5fd818-dcd0-497c-a2bc-4ecc07cafff4,Y0000050975
6885b6bc-0729-4fee-85cc-49434cf5b354,Y0000000885
aa4f8187-8b68-4f17-b158-108463d97899,Y0000043563
f0878a94-e6ed-4dac-8dd4-e7d3b2997158,Y0000000412
a7fed04a-692b-427f-963b-12ecd476aff6,Y0000048357
72118469-7663-4219-a995-62412e26d67f,Y0000044108
b7e58698-f39d-43f8-831e-ef7a2208cd9c,Y0000049951
b7effed8-5274-417c-8a60-a2fd6cc5d726,Y0000000983
deebb506-4482-4525-88cf-0b7cfed499ba,Y0000005624
85fa07cd-4ce5-45e1-b38e-7aa7d1840ed0,Y0000000921
6b443ab9-0514-4afa-90b7-edc7a90fbf43,Y0000046421
29a51c63-7bdb-4444-a204-227417e97f64,Y0000046624
11cc5768-dafb-494b-8af8-c2bdb8b596c5,Y0000043755
f6163de1-3427-4aaa-a795-e87efb6bc909,Y0000043166
114b37cd-b075-4eb3-8621-949a994307a3, 0000000371
5b334cf7-3e6d-420a-909c-e5319eed608b,Y0000042562
223f1e27-8602-44d8-b58e-e0e4ebf3c12e,Y0000041973
73119a0a-728d-47dd-b6ec-b0c1563c8a56,Y0000041234
f0f84efc-a73f-4bd3-af3e-51e64ec48c58,Y0000046175
308a2bcc-66ef-4d60-a803-34363795b222,Y0000026795
3f9a9464-df54-4e79-8ee8-93e414b50d4f,Y0000044380
b52c4b90-3189-4392-952f-04ea89a9d91c,Y0000047949
475eefd0-54e3-4603-9442-af2aac9c8464,Y0000018741
5ef0262e-cc36-4b98-a31c-f5ae3754ded0,Y0000001187
19684f18-2cfd-4c4f-b938-f0ad95f56c4d,Y0000049878
6e5953d8-b7e2-4d51-9175-f6c5657bfc75,Y0000048450
21d84a65-cf9e-46be-8055-d7eae0c875ed,Y0000048796
ee1b4926-19a7-492a-8a42-24d0006c62b8,Y0000041975
0ff443ca-1ace-46dc-a395-6e7c713abe45,Y0000046633
0721692c-24de-47c9-a6fd-a91f71e115ed,Y0000046367
737513bb-e202-4ca0-b70b-61c07509567c,Y0000042018
749e83c3-8942-437b-9045-13f5d35076d6,Y0000047274
6fc97e4a-8fb5-4453-ac1a-820617cbb084,Y0000000439
dffa6f73-58ed-48ae-8687-9aa53a8d2ad5,Y0000043749
c1bff0f9-e48e-49be-8d98-82e7f3bd2325,Y0000048867
98df743e-f1e1-4846-81c7-efb86127f3ef,Y0000044036
7f2b5068-50da-46db-af1c-21410a3c05b1,Y0000041653
0b3f1e95-cc52-4cd2-b94d-283087850cd2,Y0000045941
4aa258e0-3289-4596-bd07-17a10bd335c4,Y0000000735
53511d11-cb9e-41d2-aa60-a26df208fe01,Y0000000926
3e3f3d03-52ce-44c6-9221-4894fbae639a,Y0000052430
f0b66d78-da04-44d9-ab2f-8562b26a234f,Y0000050614
936a1dd7-eea6-464e-aa6b-f3944c47e755,Y0000043176
a3c073fb-35f3-4b48-877e-8c03b3d296d1,Y0000042568
c4a5cca8-ef5b-4a8c-87b3-1ba3a2ee2097,Y0000041559
7595ea01-da80-401a-b740-021b50c9b3bd,Y0000049138
ba2e35f9-e873-4e69-ae26-5e5780acdf50,Y0000046313
1011f48f-ab58-4f53-a1fd-08375113f26f,Y0000042771
5feb36b0-987b-45c3-b057-fed19038335c,Y0000018265
58dd9985-874d-4653-be4f-b27fcb38d5c7,Y0000041764
371d42e8-905e-4cab-baba-68a97cb06c55,Y0000042451
d722d802-a6a6-4d29-afb7-3d1dc82805db,Y0000044313
858d023f-37ba-45af-a10b-6622ebe20755,Y0000000902
83436c5d-0eb0-4373-99bf-ee269917142d,Y0000020230
1127fc2a-022f-4df9-9160-323aa8f216e3,Y0000046424
b5b7b529-4ef8-48ce-b80f-2d6a83c5485d,Y0000040425
