|APLC_SEQ_NO|MID        |TID     |MERCHANT NAME                         |CITY                               |PROSES PENGAJUAN APLIKASI|TGL APLIKASI MASUK     |STATUS APLIKASI           |STATUS WR        |STATUS WO|PROVIDER_TYP|TMNL_STATUS |TMNL_MODEL|SNO                 |MER_DTL_ADDR1                                   |MER_DTL_ADDR2                                   |MER_DTL_ADDR3                                 |MID_BRI     |MID_BNI        |MID_BTN        |MID_ASTRAPAY|MID_DANAMON|MID_BSI|MID_OCBC|TID_BRI |TID_BNI |TID_BTN |TID_ASTRAPAY|TID_DANAMON|TID_BSI|TID_OCBC|MEMBER_BANK             |
|-----------|-----------|--------|--------------------------------------|-----------------------------------|-------------------------|-----------------------|--------------------------|-----------------|---------|------------|------------|----------|--------------------|------------------------------------------------|------------------------------------------------|----------------------------------------------|------------|---------------|---------------|------------|-----------|-------|--------|--------|--------|--------|------------|-----------|-------|--------|------------------------|
|12002513658|71129965593|74544428|MIDI SC84 SWASEMBADA                  |Jakarta Utara (Kota Administrasi)  |                         |2023-01-02 14:10:14.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. SWASEMBADA BARAT XIIINO.70 RT. 008/014      |KEL KEBON BAWANG KEC TANJUNG PRIOK              |JAKARTA UTARA                                 |001999228763|000100212900877|200711299655939|            |           |       |        |10400946|12087702|20031429|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002513658|71129965593|74544429|MIDI SC84 SWASEMBADA                  |Jakarta Utara (Kota Administrasi)  |                         |2023-01-02 14:10:14.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. SWASEMBADA BARAT XIIINO.70 RT. 008/014      |KEL KEBON BAWANG KEC TANJUNG PRIOK              |JAKARTA UTARA                                 |001999228763|000100212900877|200711299655939|            |           |       |        |10400947|12087703|20031430|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002513658|71129965593|74544430|MIDI SC84 SWASEMBADA                  |Jakarta Utara (Kota Administrasi)  |                         |2023-01-02 14:10:14.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. SWASEMBADA BARAT XIIINO.70 RT. 008/014      |KEL KEBON BAWANG KEC TANJUNG PRIOK              |JAKARTA UTARA                                 |001999228763|000100212900877|200711299655939|            |           |       |        |10400948|12087723|20031431|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002513669|71129965872|74544433|MIDI SC85 LUBANG BUAYA                |Jakarta Timur (Kota Administrasi)  |                         |2023-01-02 14:16:55.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL.LUBANG BUAYA RT 01 / 05                      |KEL LUBANG BUAYA KEC CIPAYUNG                   |JAKARTA TIMUR                                 |001999228057|000100215901621|200711299658729|            |           |       |        |10398642|15162103|20031432|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002513669|71129965872|74544434|MIDI SC85 LUBANG BUAYA                |Jakarta Timur (Kota Administrasi)  |                         |2023-01-02 14:16:55.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL.LUBANG BUAYA RT 01 / 05                      |KEL LUBANG BUAYA KEC CIPAYUNG                   |JAKARTA TIMUR                                 |001999228057|000100215901621|200711299658729|            |           |       |        |10398643|15162123|20031433|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002513669|71129965872|74544435|MIDI SC85 LUBANG BUAYA                |Jakarta Timur (Kota Administrasi)  |                         |2023-01-02 14:16:55.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL.LUBANG BUAYA RT 01 / 05                      |KEL LUBANG BUAYA KEC CIPAYUNG                   |JAKARTA TIMUR                                 |001999228057|000100215901621|200711299658729|            |           |       |        |10398644|15162124|20031434|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002513674|71129975869|74544741|MIDI SC88 CONDET RAYA 2               |Jakarta Timur (Kota Administrasi)  |                         |2023-01-02 14:22:11.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. RAYA CONDET NO. 7 RT 13/03                  |KEL BATU AMPAR KEC KRAMAT JATI                  |JAKARTA TIMUR                                 |001999228060|000100215901623|200711299758696|            |           |       |        |10398651|15162302|20031435|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002513674|71129975869|74544742|MIDI SC88 CONDET RAYA 2               |Jakarta Timur (Kota Administrasi)  |                         |2023-01-02 14:22:11.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. RAYA CONDET NO. 7 RT 13/03                  |KEL BATU AMPAR KEC KRAMAT JATI                  |JAKARTA TIMUR                                 |001999228060|000100215901623|200711299758696|            |           |       |        |10398652|15162303|20031436|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
|12002513674|71129975869|74544743|MIDI SC88 CONDET RAYA 2               |Jakarta Timur (Kota Administrasi)  |                         |2023-01-02 14:22:11.000|Approval Completed        |OPEN - WAREHOUSE |         |Telkomsel   |New Request |          |                    |JL. RAYA CONDET NO. 7 RT 13/03                  |KEL BATU AMPAR KEC KRAMAT JATI                  |JAKARTA TIMUR                                 |001999228060|000100215901623|200711299758696|            |           |       |        |10398653|15162323|20031437|            |           |       |        |SHARING BMRI-BRI-BNI-BTN|
