IDLOG,IDTRACKER,IDSTATUS,APLC_SEQ_NO,PROC_PGRS_SEQ_NO,APLC_STATUS,APLC_AUTH,DATA_CHNG_DTTM
19702,7554,10,12003721171,1,DOC Registration,Approved,02/10/2023 17:28
18489,8028,70,12004209842,2,Approval Completed,Approved,03/10/2023 22:23
18490,8028,61,12004209842,3,Member Bank Apprval 1,Approved,03/06/2023 9:10
18491,8028,70,12004209842,3,Approval Completed,Approved,03/11/2023 0:55
18492,8029,10,12004209844,1,DOC Registration,Approved,03/01/2023 16:59
18493,8029,15,12004209844,1,Quality Assurance (QAM),Approved,03/01/2023 21:25
18494,8029,20,12004209844,1,Data Entry,Approved,03/02/2023 15:09
18495,8029,30,12004209844,1,B/L Check,Approved,03/02/2023 15:09
18496,8029,40,12004209844,1,Application Check,Approved,03/02/2023 15:24
18497,8029,50,12004209844,1,Merchant Analyst,Approved,03/05/2023 22:38
18498,8029,61,12004209844,1,Member Bank Apprval 1,Approved,03/10/2023 22:23
18499,8029,70,12004209844,1,Approval Completed,Approved,03/06/2023 9:10
18500,8029,61,12004209844,2,Member Bank Apprval 1,Approved,03/11/2023 0:55
18501,8029,70,12004209844,2,Approval Completed,Approved,03/10/2023 20:51
18502,8029,61,12004209844,3,Member Bank Apprval 1,Approved,03/06/2023 9:10
18503,8029,70,12004209844,3,Approval Completed,Approved,03/10/2023 22:23
18504,8029,70,12004209844,4,Approval Completed,Approved,03/11/2023 0:55
18505,8030,10,12004209868,1,DOC Registration,Approved,03/01/2023 17:01
18506,8030,15,12004209868,1,Quality Assurance (QAM),Approved,03/01/2023 21:24
18507,8030,20,12004209868,1,Data Entry,Approved,03/02/2023 13:14
18508,8030,30,12004209868,1,B/L Check,Approved,03/02/2023 13:14
18509,8030,40,12004209868,1,Application Check,Approved,03/02/2023 13:58
18510,8030,50,12004209868,1,Merchant Analyst,Approved,03/03/2023 11:37
18511,8030,61,12004209868,1,Member Bank Apprval 1,Approved,03/10/2023 22:23
18512,8030,70,12004209868,1,Approval Completed,Approved,03/06/2023 9:10
18513,8030,61,12004209868,2,Member Bank Apprval 1,Approved,03/11/2023 0:55
18514,8030,70,12004209868,2,Approval Completed,Approved,03/10/2023 20:51
18515,8030,61,12004209868,3,Member Bank Apprval 1,Approved,03/06/2023 9:10
18516,8030,70,12004209868,3,Approval Completed,Approved,03/10/2023 22:23
18517,8030,70,12004209868,4,Approval Completed,Approved,03/11/2023 0:55
18518,8032,10,12004209874,1,DOC Registration,Approved,03/01/2023 17:05
18519,8032,15,12004209874,1,Quality Assurance (QAM),Approved,03/01/2023 21:20
18520,8032,20,12004209874,1,Data Entry,Approved,03/02/2023 14:06
18521,8032,30,12004209874,1,B/L Check,Approved,03/02/2023 14:06
18522,8032,40,12004209874,1,Application Check,Approved,03/02/2023 15:25
18523,8032,50,12004209874,1,Merchant Analyst,Approved,03/04/2023 11:06
18524,8032,61,12004209874,1,Member Bank Apprval 1,Approved,03/10/2023 22:23
18525,8032,70,12004209874,1,Approval Completed,Approved,03/06/2023 9:10
18526,8032,61,12004209874,2,Member Bank Apprval 1,Approved,03/11/2023 0:55
18527,8032,70,12004209874,2,Approval Completed,Approved,03/10/2023 20:51
18528,8032,61,12004209874,3,Member Bank Apprval 1,Approved,03/06/2023 9:10
18529,8032,70,12004209874,3,Approval Completed,Approved,03/10/2023 22:23
18530,8032,70,12004209874,4,Approval Completed,Approved,03/11/2023 0:55
18531,8033,10,12004209875,1,DOC Registration,Approved,03/01/2023 17:06
18532,8033,15,12004209875,1,Quality Assurance (QAM),Approved,03/01/2023 17:06
18533,8033,20,12004209875,1,Data Entry,Approved,03/01/2023 17:14
18534,8033,30,12004209875,1,B/L Check,Approved,03/01/2023 17:14
18535,8033,40,12004209875,1,Application Check,Approved,03/01/2023 17:15
18536,8033,61,12004209875,1,Member Bank Apprval 1,Approved,03/01/2023 17:35
18537,8033,70,12004209875,1,Approval Completed,Approved,03/02/2023 19:10
18539,8036,10,12004229886,1,DOC Registration,Approved,03/02/2023 8:48
18540,8036,15,12004229886,1,Quality Assurance (QAM),Approved,03/02/2023 10:01
18541,8036,20,12004229886,1,Data Entry,Approved,03/02/2023 14:27
18542,8036,30,12004229886,1,B/L Check,Approved,03/02/2023 14:27
18543,8036,40,12004229886,1,Application Check,Approved,03/02/2023 15:21
18544,8036,50,12004229886,1,Merchant Analyst,Approved,03/05/2023 22:35
18545,8036,61,12004229886,1,Member Bank Apprval 1,Approved,03/10/2023 22:22
18546,8036,70,12004229886,1,Approval Completed,Approved,03/06/2023 9:10
18547,8036,61,12004229886,2,Member Bank Apprval 1,Approved,03/11/2023 0:55
18548,8036,70,12004229886,2,Approval Completed,Approved,03/10/2023 20:51
18549,8036,61,12004229886,3,Member Bank Apprval 1,Approved,03/06/2023 9:10
